Institute Name,NIRF Rank
Indian Institute of Technology Madras,1
Indian Institute of Technology Delhi,2
Indian Institute of Technology Bombay,3
Indian Institute of Technology Kanpur,4
Indian Institute of Technology Kharagpur,5
Indian Institute of Technology Roorkee,6
Indian Institute of Technology Guwahati,7
Indian Institute of Technology Hyderabad,8
National Institute of Technology Tiruchirappalli,9
Indian Institute of Technology (BHU) Varanasi,10
Indian Institute of Technology Indore,12
"National Institute of Technology Karnataka, Surathkal",13
National Institute of Technology Rourkela,14
Indian Institute of Technology (ISM) Dhanbad,15
Indian Institute of Technology Gandhinagar,18
Indian Institute of Technology Ropar,22
National Institute of Technology Warangal,21
Indian Institute of Technology Jodhpur,28
Indian Institute of Technology Mandi,31
National Institute of Technology Calicut,23
Indian Institute of Technology Patna,34
National Institute of Technology Durgapur,43
National Institute of Technology Silchar,40
"Visvesvaraya National Institute of Technology, Nagpur",41
National Institute of Technology Kurukshetra,58
Motilal Nehru National Institute of Technology Allahabad,49
Malaviya National Institute of Technology Jaipur,37
"Sardar Vallabhbhai National Institute of Technology, Surat",65
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",46
National Institute of Technology Meghalaya,72
Maulana Azad National Institute of Technology Bhopal,80
National Institute of Technology Raipur,70
National Institute of Technology Agartala,91
National Institute of Technology Goa,90
National Institute of Technology Jamshedpur,85
Indian Institute of Information Technology Allahabad,89
National Institute of Technology Patna,56
National Institute of Technology Hamirpur,101
National Institute of Technology Puducherry,102
National Institute of Technology Manipur,95
National Institute of Technology Arunachal Pradesh,142
National Institute of Technology Srinagar,105
National Institute of Technology Delhi,51
National Institute of Technology Mizoram,140
National Institute of Technology Nagaland,150
National Institute of Technology Sikkim,151
National Institute of Technology Uttarakhand,152
"National Institute of Technology, Andhra Pradesh",153
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,103
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",184
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",97
Indian Institute of Information Technology Guwahati,112
Indian Institute of Technology Bhubaneswar,47
Indian Institute of Technology Tirupati,59
Indian Institute of Technology Palakkad,69
Indian Institute of Technology Jammu,67
Indian Institute of Technology Dharwad,93
Indian Institute of Technology Bhilai,81
Indian Institute of Technology Goa,82
