year,round,type,institute,program,quota,category,gender,orank,crank,hist_crank_mean,hist_crank_min,hist_crank_max,hist_crank_count,candidate_rank,admitted,rank_diff,rank_ratio
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,11040,1,-198.0,0.9823812057462349
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,8726,1,-2512.0,0.7764726812809462
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,9160,1,-2078.0,0.8150916525937963
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,12369,0,1131.0,1.10064068241623
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,12334,0,1096.0,1.0975262492458389
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,11238.0,11238.0,11238.0,0,14331,0,3093.0,1.2752269075678708
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,11453,1,-4244.0,0.7296298651145888
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,15413,1,-284.0,0.9819073702096532
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,14431,1,-1266.0,0.9193476454613317
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,18869,0,3172.0,1.2020768292017094
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,18617,0,2920.0,1.1860228061502052
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only,13312,15697,15697.0,15697.0,15697.0,0,15828,0,131.0,1.0083455430920905
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,198,1,-56.0,0.7795275283650579
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,229,1,-25.0,0.9015747676545367
