year,round,type,institute,program,quota,category,gender,orank,crank,hist_crank_mean,hist_crank_min,hist_crank_max,hist_crank_count
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,56242,81305,81305.0,81305.0,81305.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-only,57261,66839,66839.0,66839.0,66839.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,17053,20551,20551.0,20551.0,20551.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only,24781,24781,24781.0,24781.0,24781.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,70092,127839,127839.0,127839.0,127839.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only,68024,68024,68024.0,68024.0,68024.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,12753,13935,13935.0,13935.0,13935.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only,13043,13043,13043.0,13043.0,13043.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,42005,43084,43084.0,43084.0,43084.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-only,49060,49931,49931.0,49931.0,49931.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,1414,1414,1414.0,1414.0,1414.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,7406,7517,7517.0,7517.0,7517.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-only,8310,8310,8310.0,8310.0,8310.0,0
2020,6,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,11252,14504,14504.0,14504.0,14504.0,0
