year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",10922,16156
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",19820,23960
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",2214,2346
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",3688,3698
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",4402,5414
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",8189,8600
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",2203,2872
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",2833,3644
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",883,1093
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",1402,1429
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",2344,4162
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",4082,6467
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Female-only",50,50
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",426,538
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",923,1035
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",984,1510
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",2515,3264
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral",54,54
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",344,747
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",1158,1330
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",136,265
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",663,663
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",5974,8165
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",13141,16009
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",1077,1224
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",2525,2530
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",2573,3215
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",5062,5488
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",1524,1828
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",2175,2175
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",552,919
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",846,846
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",3873,5885
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",8993,10965
